#  San Luis Obispo County, California Maximum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
189501,54.6
189502,61
189503,60.3
189504,66.5
189505,76.1
189506,83.6
189507,84.9
189508,85
189509,81.4
189510,74.7
189511,64.6
189512,57
189601,59
189602,64.2
189603,63
189604,61
189605,74
189606,86
189607,83.2
189608,88.8
189609,81.5
189610,76.4
189611,60.8
189612,60.2
189701,57.4
189702,56.6
189703,57
189704,70.7
189705,73.6
189706,80.4
189707,88.3
189708,87.8
189709,82
189710,69.8
189711,64.9
189712,60.7
189801,55.3
189802,61.3
189803,61.9
189804,71.2
189805,74.9
189806,88.3
189807,89.9
189808,90.1
189809,80.2
189810,75.8
189811,67.4
189812,60.6
189901,60.5
189902,62.2
189903,62.2
189904,68.1
189905,70.3
189906,79.2
189907,89.1
189908,82.1
189909,86.7
189910,71.3
189911,64.7
189912,61
190001,61.4
190002,65.2
190003,69.4
190004,67.2
190005,79.7
190006,86.2
190007,90.1
190008,85.3
190009,82.5
190010,76
190011,73.4
190012,63.2
190101,58.1
190102,60.5
190103,66.7
190104,67.8
190105,73.7
190106,85.4
190107,92.5
190108,90.7
190109,80.8
190110,75.2
190111,68.2
190112,63.1
190201,59.6
190202,60.5
190203,59.9
190204,66.9
190205,72.7
190206,83
190207,89.2
190208,86.1
190209,86.3
190210,73.3
190211,61.8
190212,58.4
190301,59.1
190302,56
190303,59.6
190304,66.4
190305,71.8
190306,82.5
190307,85.3
190308,87
190309,82
190310,78.1
190311,66.3
190312,62
190401,59.2
190402,58.4
190403,58.1
190404,66.1
190405,73.8
190406,82.1
190407,85.3
190408,88.7
190409,83.8
190410,72.8
190411,69.2
190412,60.4
190501,59.1
190502,60.3
190503,63
190504,67.5
190505,70
190506,78.5
190507,87.5
190508,85.8
190509,83.1
190510,76.8
190511,65.4
190512,60.3
190601,60.8
190602,61.6
190603,60.3
190604,63.7
190605,67
190606,79.2
190607,91.3
190608,87.1
190609,83.6
190610,78.4
190611,62.9
190612,54.9
190701,51.8
190702,61.7
190703,59.3
190704,65.7
190705,71.3
190706,75.2
190707,86.1
190708,83.7
190709,77.5
190710,72.2
190711,64.7
190712,59.9
190801,58.9
190802,53.5
190803,60.7
190804,66.8
190805,68.2
190806,75.8
190807,88
190808,85
190809,81.9
190810,73.1
190811,67.1
190812,58.7
190901,58.4
190902,56.7
190903,55.2
190904,66.1
190905,68.9
190906,78.5
190907,85.2
190908,87.8
190909,81.4
190910,73
190911,61.6
190912,55
191001,53.7
191002,56.8
191003,63.5
191004,70.7
191005,77.3
191006,80.5
191007,86.3
191008,87.2
191009,81.3
191010,76
191011,65.5
191012,61.1
191101,58.2
191102,54
191103,59.2
191104,62.4
191105,70.4
191106,78.1
191107,88.4
191108,85.7
191109,79
191110,75.2
191111,67.6
191112,57
191201,59.1
191202,63.9
191203,55.9
191204,60.4
191205,72.2
191206,80.9
191207,85.4
191208,85.2
191209,81.9
191210,72.2
191211,68.8
191212,59.4
