#  San Luis Obispo County, California Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
189501,45.8
189502,49.6
189503,49.3
189504,54.1
189505,60.5
189506,66
189507,68.9
189508,69.2
189509,65.4
189510,61.2
189511,50.7
189512,45.3
189601,48.8
189602,50
189603,51.9
189604,49.6
189605,57.9
189606,68.5
189607,68.5
189608,70.8
189609,64.3
189610,62.7
189611,49.5
189612,49.6
189701,47.5
189702,47.6
189703,47.2
189704,57.2
189705,60.8
189706,68.4
189707,72.1
189708,73.8
189709,68
189710,58.3
189711,52.6
189712,46.5
189801,43.9
189802,50.7
189803,48.8
189804,55.5
189805,58.6
189806,67.5
189807,67.9
189808,69.4
189809,64.6
189810,61.8
189811,52.3
189812,47.4
189901,50.2
189902,48.8
189903,51.4
189904,55.2
189905,56.4
189906,64.1
189907,71.2
189908,67.6
189909,69.4
189910,59.3
189911,55.3
189912,49.3
190001,51
190002,50.9
190003,55.9
190004,52.7
190005,63.2
190006,69.2
190007,71.3
190008,69.4
190009,65
190010,61.7
190011,58.8
190012,49
190101,48
190102,50.5
190103,52.6
190104,52.5
190105,59.4
190106,66.5
190107,73.4
190108,72.9
190109,63.8
190110,60.5
190111,55.7
190112,47.6
190201,46.6
190202,48.9
190203,47.4
190204,52.6
190205,56.3
190206,65.6
190207,70
190208,68.8
190209,68.9
190210,59
190211,49.7
190212,46.2
190301,46.5
190302,42.8
190303,48.6
190304,52.7
190305,58.1
190306,67.1
190307,67.7
190308,69.7
190309,66.2
190310,61.5
190311,53.8
190312,46.7
190401,45
190402,48.3
190403,48.9
190404,52.7
190405,60.1
190406,66.1
190407,68.8
190408,72.2
190409,69.4
190410,59.7
190411,54.5
190412,47.9
190501,49.7
190502,50.3
190503,52.5
190504,54.4
190505,55.8
190506,63.4
190507,70.8
190508,69.4
190509,66.4
190510,59.1
190511,52
190512,46.2
190601,48.3
190602,52
190603,49.9
190604,51.4
190605,54.9
190606,62.6
190607,73.3
190608,70.2
190609,66.8
190610,60.9
190611,49.9
190612,45.6
190701,43.3
190702,51
190703,48.7
190704,54.5
190705,56.4
190706,60.8
190707,68.9
190708,67.2
190709,62.1
190710,58.7
190711,52
190712,48.2
190801,47.6
190802,44.2
190803,47.9
190804,51.8
190805,53.8
190806,60.3
190807,71.8
190808,70.2
190809,66.2
190810,57.3
190811,53.4
190812,46.4
190901,49.6
190902,47.3
190903,45.3
190904,52.2
190905,55.5
190906,63.6
190907,68.9
190908,70.6
190909,66.2
190910,59.9
190911,49.4
190912,46.7
191001,43.9
191002,44.4
191003,53
191004,57.1
191005,61.6
191006,64
191007,70
191008,68.8
191009,66.2
191010,61.2
191011,52.2
