#  San Luis Obispo County, California Minimum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
189501,37
189502,38.1
189503,38.3
189504,41.7
189505,44.9
189506,48.3
189507,53
189508,53.4
189509,49.4
189510,47.7
189511,36.8
189512,33.7
189601,38.5
189602,35.7
189603,40.8
189604,38.1
189605,41.9
189606,50.9
189607,53.8
189608,52.8
189609,47.1
189610,49
189611,38.1
189612,39.1
189701,37.7
189702,38.6
189703,37.4
189704,43.6
189705,48
189706,56.5
189707,55.8
189708,59.8
189709,53.9
189710,46.8
189711,40.3
189712,32.3
189801,32.4
189802,40
189803,35.6
189804,39.9
189805,42.4
189806,46.6
189807,45.8
189808,48.7
189809,49.1
189810,47.8
189811,37.2
189812,34.1
189901,39.9
189902,35.3
189903,40.7
189904,42.3
189905,42.6
189906,48.9
189907,53.2
189908,53.1
189909,52
189910,47.4
189911,46
189912,37.6
190001,40.5
190002,36.5
190003,42.5
190004,38.2
190005,46.7
190006,52.3
190007,52.5
190008,53.4
190009,47.5
190010,47.4
190011,44.1
190012,34.8
190101,37.8
190102,40.5
190103,38.4
190104,37.2
190105,45.1
190106,47.5
190107,54.2
190108,55.1
190109,46.7
190110,45.8
190111,43.1
190112,32.1
190201,33.6
190202,37.2
190203,34.9
190204,38.3
190205,39.9
190206,48.2
190207,50.7
190208,51.5
190209,51.5
190210,44.7
190211,37.7
190212,34
190301,33.8
190302,29.6
190303,37.5
190304,39
190305,44.2
190306,51.6
190307,50.1
190308,52.4
190309,50.4
190310,44.9
190311,41.2
190312,31.4
190401,30.7
190402,38.2
190403,39.7
190404,39.3
190405,46.4
190406,50
190407,52.4
190408,55.7
190409,54.9
190410,46.6
190411,39.8
190412,35.4
190501,40.3
190502,40.3
190503,42.1
190504,41.3
190505,41.5
190506,48.2
190507,54.1
190508,53.1
190509,49.7
190510,41.3
190511,38.5
190512,32.1
190601,35.8
190602,42.3
190603,39.4
190604,39
190605,42.8
190606,46.1
190607,55.2
190608,53.4
190609,49.9
190610,43.4
190611,36.9
190612,36.2
190701,34.8
190702,40.3
190703,38.1
190704,43.3
190705,41.6
190706,46.3
190707,51.8
190708,50.6
190709,46.8
190710,45.1
190711,39.3
190712,36.6
190801,36.3
190802,34.9
190803,35.1
190804,36.9
190805,39.4
190806,44.7
190807,55.6
190808,55.4
190809,50.5
190810,41.6
190811,39.7
190812,34.1
190901,40.7
190902,37.9
190903,35.5
190904,38.4
190905,42
190906,48.8
190907,52.5
190908,53.4
190909,51.1
190910,46.8
190911,37.2
190912,38.4
191001,34.1
191002,32
191003,42.4
191004,43.5
191005,45.8
191006,47.4
191007,53.6
191008,50.4
191009,51.1
191010,46.4
191011,38.9
191012,37.4
191101,39.1
191102,35.6
191103,44.2
191104,41.5
191105,41.4
191106,47.5
191107,54
191108,51.2
191109,49.1
191110,42.3
191111,35.3
191112,32.5
191201,39
191202,37
191203,40.6
191204,39.6
191205,46.6
191206,49.5
191207,51.5
191208,51.5
191209,50.3
191210,42.4
191211,37.5
191212,29.1
191301,33.7
191302,37.1
191303,36.2
191304,39.4
191305,45.3
191306,50.7
191307,56.6
191308,57.4
191309,53.4
191310,42.8
191311,44.8
191312,38
191401,43.3
191402,39.7
191403,41.8
191404,44.3
191405,46.8
191406,49.7
191407,52.7
191408,53.3
191409,49.7
191410,46.5
191411,39
191412,35.2
191501,37.8
191502,41.2
191503,42.4
191504,42.5
191505,46.5
191506,49.1
191507,54.3
191508,55.8
191509,49.5
191510,43
191511,37.4
191512,38
191601,37.3
191602,42.3
191603,42.1
191604,42.4
191605,42.9
191606,48
191607,53.4
191608,53.6
191609,51.3
191610,45.2
191611,33.9
191612,34.2
191701,32.9
191702,35.7
191703,33.3
191704,39.1
191705,42.3
191706,49.8
191707,58.1
191708,54.2
191709,51.5
191710,47
191711,40.2
191712,36
191801,33.1
191802,35.5
191803,41.7
191804,42.1
191805,41
191806,53.8
191807,53.2
191808,53.7
191809,52.8
191810,49
